input_school,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10
Bluffton University,Greenville University,Defiance College,Culver-Stockton College,Clarke University,Eastern Nazarene College,Dakota Wesleyan University,Huntingdon College,Erskine College,The University of Tennessee Southern,Pfeiffer University
Bowling Green State University-Main Campus,Western Michigan University,Illinois State University,Kent State University at Kent,Western Carolina University,East Tennessee State University,Central Michigan University,Western Kentucky University,University of Wisconsin-Whitewater,The University of Tennessee-Chattanooga,West Chester University of Pennsylvania
Capital University,Wartburg College,Carthage College,Concordia College at Moorhead,Augustana College,Augustana University,Midland University,Anderson University,Roanoke College,Wittenberg University,Luther College
Case Western Reserve University,Washington University in St Louis,University of Rochester,Northeastern University,Carnegie Mellon University,Boston University,Lehigh University,University of Pennsylvania,Tufts University,Georgia Institute of Technology-Main Campus,University of Connecticut
Cedarville University,Samford University,Calvin University,Biola University,Lipscomb University,Seattle University,Mercer University,Hofstra University,Duquesne University,Harding University,Ramapo College of New Jersey
The Christ College of Nursing and Health Sciences,Aultman College of Nursing and Health Sciences,Cabarrus College of Health Sciences,Mount Carmel College of Nursing,Kettering College,Mercy College of Ohio,University of Minnesota-Rochester,Jersey College,Pennsylvania College of Health Sciences,Reading Hospital School of Health Sciences,D'Youville  University
University of Cincinnati-Main Campus,Louisiana State University and Agricultural & Mechanical College,University of Kansas,University of Oklahoma-Norman Campus,University of Kentucky,University of South Carolina-Columbia,Ohio University-Main Campus,University of Utah,Michigan State University,University of Mississippi,The University of Alabama
Cleveland Institute of Art,Moore College of Art and Design,Minneapolis College of Art and Design,Maryland Institute College of Art,University of Minnesota-Rochester,University of North Carolina School of the Arts,University of Health Sciences and Pharmacy in St. Louis,Maine Maritime Academy,School of Visual Arts,Marymount Manhattan College,Pratt Institute-Main
Cleveland State University,Northern Kentucky University,University of Wisconsin-Milwaukee,Troy University,Oakland University,Wichita State University,Minnesota State University-Mankato,University of Memphis,University of Akron Main Campus,University of North Florida,University of West Georgia
University of Dayton,Marquette University,Texas Christian University,Duquesne University,Gonzaga University,Seattle University,Saint Louis University,Seton Hall University,Saint Joseph's University,Fairfield University,Fordham University
Defiance College,Pfeiffer University,Warner University,Bethany College,Rocky Mountain College,Kentucky Wesleyan College,Bluffton University,Sterling College,Alice Lloyd College,Brevard College,Ferrum College
Denison University,Franklin and Marshall College,Skidmore College,Furman University,The College of Wooster,Gettysburg College,Colorado College,Occidental College,Lawrence University,Trinity College,University of Puget Sound
John Carroll University,Saint Joseph's University,Loyola University Maryland,University of Scranton,Duquesne University,Gonzaga University,Siena College,Seattle University,St. John Fisher University,California Lutheran University,Providence College
Kent State University at Kent,Illinois State University,Western Kentucky University,Western Michigan University,Grand Valley State University,Georgia Southern University,West Virginia University,Ohio University-Main Campus,Bowling Green State University-Main Campus,Eastern Michigan University,Western Carolina University
Kenyon College,Occidental College,Reed College,Whitman College,Oberlin College,Grinnell College,Colby College,Colorado College,Washington and Lee University,Connecticut College,Skidmore College
Kettering College,Aultman College of Nursing and Health Sciences,Mount Carmel College of Nursing,The Christ College of Nursing and Health Sciences,Franciscan Missionaries of Our Lady University,Cabarrus College of Health Sciences,Mercy College of Ohio,Pennsylvania College of Health Sciences,Baptist Health Sciences University,St Luke's College,University of Minnesota-Rochester
Lake Erie College,Sterling College,The University of Tennessee Southern,William Jewell College,William Peace University,Eastern Nazarene College,Multnomah University,University of South Carolina Aiken,Lander University,Lindenwood University,Friends University
Malone University,Guilford College,Mount Vernon Nazarene University,Hardin-Simmons University,Nebraska Wesleyan University,Wilmington College,Midland University,Charleston Southern University,Carson-Newman University,Saint Ambrose University,Capital University
Marietta College,Northern State University,Concord University,Castleton University,Catawba College,Franklin Pierce University,University of Pittsburgh-Johnstown,University of Pittsburgh-Bradford,Lander University,St. Thomas Aquinas College,Henderson State University
Mercy College of Ohio,Mount Carmel College of Nursing,Cabarrus College of Health Sciences,The Christ College of Nursing and Health Sciences,Franciscan Missionaries of Our Lady University,Kettering College,Aultman College of Nursing and Health Sciences,St Luke's College,Reading Hospital School of Health Sciences,Ursuline College,Baptist Health Sciences University
Miami University-Oxford,University of Delaware,The University of Tennessee-Knoxville,James Madison University,University of North Carolina Wilmington,University of South Carolina-Columbia,University of Oklahoma-Norman Campus,University of Oregon,University of Kansas,University of Colorado Boulder,Appalachian State University
